0,
agave,시럽
all,중력분
almonds,아몬드
anchovy,안초비
apples,사과
avocado,아보카도
baby,꼬마
back,등갈비
backbone,닭고기
baking,베이킹 파우더
bananas,바나나
barbecue,바비큐 소스
basmati,바스마티
bass,농어
beans,콩
beef,소고기
beets,비트
bell,파프리카
berries,베리
bibb,양상추
bitters,리큐르
black,후추
boneless,닭가슴살
bones,사골
bread,빵
breadcrumbs,빵가루
brown,황설탕
buns,버거 빵
butter,버터
cabbage,양배추
candied,사탕
cardamom,카다멈
celery,샐러리
chard,근대
cheddar,체다
cheese,치즈
cherries,체리
chia,치아씨드
chicken,닭고기
chile,칠리
chili,고춧가루
chipotle,치포틀레
chocolate,초콜릿
chorizo,초리조
choy,청경채
chuck,목살
cider,사과주
cinnamon,시나몬
cocoa,코코아
coconut,코코넛
cod,대구
cookies,쿠키
cooking,요리용
corn,옥수수
cornmeal,옥수수가루
cottage,커티지 치즈
cranberry,크랜베리
cream,크림
cr?me,리큐르
curry,카레
dates,대추
de,아르볼 칠리
dried,건
duck,오리
egg,달걀
endive,엔다이브
extra,올리브유
extract,추출물
fennel,펜넬
feta,페타 치즈
figs,무화과
fillets,필렛
fish,생선
flour,밀가루
food,식용
fruit,과일
garlic,마늘
gelatin,젤라틴
gold,감자
graham,크래커
grain,통밀
grain,홀그레인
grape,대추 토마토
grape,포도
grapefruit,자몽
greekstyle,그릭 요거트
green,녹색
green,풋
ground,간
ham,햄
head,머리
hearts,아티초크
heavy,헤비 크림
hot,핫 소스
hot,고추장
husked,도정한
ice,아이스크림
italian,이탈리아 소시지
jalape?o,할라피뇨
jar,절임
juice,주스
kale,케일
lamb,양고기
lasagna,라자냐
leaf,월계수잎
leaves,허브
left,밤
lemon,레몬
lettuce,양상추
lime,라임
mango,망고
meat,살코기
milk,우유
mix,양념
mushrooms,버섯
mustard,머스터드
new,멕시코 칠리
nuts,견과류
oats,귀리
oil,식용유
olive,올리브유
olives,올리브
onion,양파
orange,오렌지
other,기타
outer,기타
paper,유산지
parsley,파슬리
pasta,파스타
pastry,페스츄리
peaches,복숭아
pears,배
peas,콩
pepper,고추
peppercorns,통후추
pickled,피클
pie,파이
pinto,콩
pizza,피자
plain,플레인 요거트
plum,방울토마토
plum,자두
pork,돼지고기
potatoes,감자
preferably,기타
quart,기타
raspberry,라즈베리
red,레드 와인
red,고춧가루
red,홍고추
rice,쌀
ricotta,리코타 치즈
rind,껍질을 제거한
root,뿌리
round,둥근
rum,
rye,
saffron,
salmon,
salsa,
salt,
sandwich,
sauce,
sausage,
scallops,
scotch,
sea,
see,
seeds,
serrano,
shelled,
short,
shredded,
shrimp,
sirloin,
skin,
smoked,
soda,
spice,
squash,
star,
steak,
stems,
stores,
strawberries,
string,
strip,
sugar,
sundried,
syrup,
tea,
tenderloin,
thai,
tofu,
tomatoes,
tuna,
turkey,
vanilla,
vegetable,
vinegar,
water,
wheat,
white,
wine,
yeast,
yogurt,
